species_1,species_2,distance
640780820,2328020901,1.0
640780820,122394,1.0
640780820,395515590,1.0
640780820,2990525618,1.0
640780820,122395,1.0
640780820,2119467502,1.0
640780820,38502825,1.0
640780820,122429,1.0
640780820,2945172904,1.0
640780820,2826373145,1.0
640780820,1190424385,1.0
640780820,1919063931,1.0
640780820,1561931297,1.0
640780820,2990484647,1.0
640780820,586486803,1.0
640780820,246398,1.0
640780820,3027848108,1.0
640780820,1586281608,1.0
640780820,1586281612,1.0
640780820,122500,1.0
640780820,585692088,1.0
640780820,257122977,1.0
640780820,526117607,1.0
640780820,257122987,1.0
640780820,2282135466,1.0
640780820,634894465,1.0
640780820,122469,1.0
640780820,122363,1.0
640780820,1934719391,1.0
640780820,3064345421,1.0
640780820,821138343,1.0
640780820,2437663959,1.0
640780820,1845331203,1.0
640780820,110831900,1.0
640780820,110831865,1.0
640780820,1432292164,1.0
640780820,115502084,1.0
640780820,116666788,1.0
640780820,15825904,1.0
640780820,122386,1.0
640780820,1244121761,1.0
640780820,1570467483,1.0
640780820,1304957200,1.0
640780820,1900073867,1.0
640780820,62901551,1.0
640780820,2020860954,1.0
640780820,1965590930,1.0
640780820,2166937976,1.0
640780820,585159800,1.0
640780820,1820924914,1.0
640780820,2223376880,1.0
640780820,254753,1.0
640780820,122435,1.0
640780820,2181326916,1.0
640780820,122438,1.0
640780820,2721831674,1.0
640780820,1876191732,1.0
640780820,110831902,1.0
640780820,198385320,1.0
640780820,2526590216,1.0
640780820,742081986,1.0
640780820,2878487968,1.0
640780820,253714,1.0
640780820,2411742238,1.0
640780820,528765669,1.0
640780820,198385324,1.0
640780820,2813700222,1.0
640780820,2090184923,1.0
640780820,1876191736,1.0
640780820,2625260778,1.0
640780820,1876191734,1.0
640780820,1246207407,1.0
640780820,224466210,1.0
640780820,2806554252,1.0
640780820,2625717462,1.0
640780820,2597701741,1.0
640780820,2528715546,1.0
640780820,2566684570,1.0
640780820,2589475259,1.0
640780820,122413,1.0
640780820,602682858,1.0
640780820,2589191878,1.0
640780820,1430744588,1.0
640780820,2492285051,1.0
640780820,2746031310,1.0
640780820,1378885077,1.0
640780820,110831911,1.0
640780820,1927320890,1.0
640780820,62901566,1.0
640780820,122391,1.0
640780820,1374962190,1.0
640780820,2472484191,1.0
640780820,1121793499,1.0
640780820,122437,1.0
640780820,246008,1.0
640780820,122426,1.0
640780820,1016699547,1.0
640780820,1910897689,1.0
640780820,554551827,1.0
640780820,378548355,1.0
640780820,530230119,1.0
640780820,2591575512,1.0
640780820,2076549982,1.0
640780820,358002578,1.0
640780820,115502088,1.0
640780820,2555152565,1.0
640780820,2731402,1.0
640780820,122479,1.0
640780820,122494,1.0
640780820,2957699805,1.0
640780820,2318338603,1.0
640780820,1226042084,1.0
640780820,414524181,1.0
640780820,2800093296,1.0
640780820,1842147303,1.0
640780820,1949673465,1.0
640780820,3057982058,1.0
640780820,1139432807,1.0
640780820,1226042096,1.0
640780820,918609388,1.0
640780820,2528560910,1.0
640780820,115502091,1.0
640780820,1868360200,1.0
640780820,122388,1.0
640780820,1226042072,1.0
640780820,2859757273,1.0
640780820,2442239965,1.0
640780820,731208367,1.0
640780820,1621901632,1.0
640780820,513025151,1.0
640780820,537392958,1.0
640780820,507536267,1.0
640780820,1562450271,1.0
640780820,1768047980,1.0
640780820,1211458136,1.0
640780820,2025749696,1.0
640780820,3037414136,1.0
640780820,145301549,1.0
640780820,658157874,1.0
640780820,674082701,1.0
640780820,507631735,1.0
640780820,122450,1.0
640780820,1908095908,1.0
640780820,378548360,1.0
640780820,2240595723,1.0
640780820,762061013,1.0
640780820,2318691740,1.0
640780820,1226042090,1.0
640780820,2496815897,1.0
640780820,60678292,1.0
640780820,2219437535,1.0
640780820,2795349420,1.0
640780820,1226042078,1.0
640780820,122484,1.0
640780820,537392960,1.0
640780820,378548361,1.0
640780820,1226042086,1.0
640780820,1474821786,1.0
640780820,2687706319,1.0
640780820,762060993,1.0
640780820,1498472065,1.0
640780820,817309587,1.0
640780820,110831918,1.0
640780820,1864417489,1.0
640780820,1934031293,1.0
640780820,122495,1.0
640780820,122377,1.0
640780820,1498472069,1.0
640780820,635031995,1.0
640780820,795297664,1.0
640780820,2843003169,1.0
640780820,1498472061,1.0
640780820,2837958551,1.0
640780820,2694958461,1.0
640780820,47115689,1.0
640780820,4929996,1.0
640780820,2552957787,1.0
640780820,2168868935,1.0
640780820,122481,1.0
640780820,1498472055,1.0
640780820,122422,1.0
640780820,355756398,1.0
640780820,122434,1.0
640780820,122366,1.0
640780820,1149808806,1.0
640780820,1498472067,1.0
640780820,1498472063,1.0
640780820,1743175490,1.0
640780820,2441695316,1.0
640780820,176990,1.0
640780820,2490739653,1.0
640780820,52000980,1.0
640780820,115502090,1.0
640780820,2752813076,1.0
640780820,342829,1.0
640780820,826336946,1.0
640780820,724914786,1.0
640780820,47115544,1.0
640780820,2676527375,1.0
640780820,2646899794,1.0
640780820,527461777,1.0
640780820,218157240,1.0
